day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_decor_kept_cat_tree_p50,board_decor_kept_cat_tree_p95,board_decor_kept_cat_tree_mean,board_decor_kept_cherry_tree_p50,board_decor_kept_cherry_tree_p95,board_decor_kept_cherry_tree_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,diamonds_in_monthly_card_p50,diamonds_in_monthly_card_p95,diamonds_in_monthly_card_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_monthly_card_p50,gold_in_monthly_card_p95,gold_in_monthly_card_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_in_step_chest_p50,gold_in_step_chest_p95,gold_in_step_chest_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_in_monthly_card_p50,love_petals_in_monthly_card_p95,love_petals_in_monthly_card_mean,love_petals_in_workshop_dupe_p50,love_petals_in_workshop_dupe_p95,love_petals_in_workshop_dupe_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,step_chests_opened_p50,step_chests_opened_p95,step_chests_opened_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,workshop_box_opened_p50,workshop_box_opened_p95,workshop_box_opened_mean,workshop_gift_accessory_p50,workshop_gift_accessory_p95,workshop_gift_accessory_mean,workshop_gift_flower_p50,workshop_gift_flower_p95,workshop_gift_flower_mean,diamonds_in_board_milestone_p50,diamonds_in_board_milestone_p95,diamonds_in_board_milestone_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,gold_in_adoption_p50,gold_in_adoption_p95,gold_in_adoption_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,bond_points_gain_p50,bond_points_gain_p95,bond_points_gain_mean
1,3.0,3.0,3,0.0,2.0,0.42,1.0,2.549999999999997,1.14,1.0,1.0,0.54,0.0,1.0,0.3,3.0,5.0,2.86,1.0,2.549999999999997,1.14,2.0,3.549999999999997,1.68,1.0,2.0,0.74,4.0,6.0,3.6,2.0,4.549999999999997,2.26,21.0,31.0,23.1,6000.0,6000.0,6000,0.0,0.0,0.6,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,4.0,4.0,4,20.0,20.0,20.6,7434.0,7434.0,7434,480.0,530.0,490,0.0,0.0,0.2,40.0,40.0,40,7860.0,7860.0,7860,7074.0,7074.0,7074,7500.0,7500.0,7500,1.0,1.0,1,300.0,300.0,300,0.0,50.0,10,100.0,100.0,100,100.0,100.0,100,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,0.0,0.0,0.2,70.0,70.0,70,40.0,40.0,40,2.0,2.0,2,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,2.0,2.0,2,1.0,2.0,1.3,1.0,2.0,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,3.0,3,0.0,2.0,0.64,1.0,2.549999999999997,1.14,0.0,1.0,0.34,1.0,2.0,0.7,3.0,5.0,2.66,1.0,3.0,1.46,2.0,3.0,1.68,1.0,2.549999999999997,1.12,2.0,4.0,2.16,2.0,5.549999999999997,2.58,27.0,35.55,26.78,6000.0,6000.0,6000,0.0,30.0,11.4,20.0,20.0,20,20.0,20.0,20,0.0,0.0,0,7.0,7.0,7,90.0,120.0,93,9618.0,9618.0,9618,810.0,910.0,825,5.0,20.0,6.2,80.0,80.0,80,7860.0,7860.0,7860,7074.0,7074.0,7074,12750.0,12750.0,12750,1.0,1.0,0.56,200.0,200.0,200,50.0,127.49999999999986,55,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,5.0,20.0,6,70.0,70.0,70,40.0,40.0,40,2.0,2.0,2,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,3.0,3.0,3,2.0,3.0,1.66,1.0,2.0,0.74,30.0,30.0,21,0.0,1.0,0.12,0.0,1.0,0.28,0.0,0.0,0.04,,,,,,,,,,,,,,,,,,
3,3.0,3.0,3,1.0,2.549999999999997,0.76,0.0,2.0,0.44,0.0,1.0,0.1,1.0,2.0,0.68,3.0,5.549999999999997,2.94,1.0,3.0,1.26,2.0,4.099999999999994,1.62,1.0,3.0,1.16,2.0,4.0,2.24,2.0,4.549999999999997,2.34,27.0,35.55,26.26,6000.0,6000.0,6000,30.0,30.0,19,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,11.0,11.0,11,140.0,140.0,141,7552.0,7552.0,7552,1440.0,1540.0,1449,10.0,40.0,15.3,120.0,120.0,120,7860.0,7860.0,7860,7074.0,7074.0,7074,17000.0,17000.0,17000,1.0,1.0,0.68,300.0,300.0,300,100.0,200.0,94,150.0,150.0,150,100.0,100.0,100,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,10.0,25.49999999999997,9.1,70.0,70.0,70,40.0,40.0,40,2.0,2.0,2,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,3.0,3.0,3,1.0,3.0,1.36,1.0,2.0,0.86,0.0,30.0,9,0.0,1.0,0.08,0.0,1.0,0.2,0.0,0.0,0.04,,,,,,,,,,,,,,,,,,
4,3.0,3.0,3,0.0,2.0,0.54,0.0,1.5499999999999972,0.22,0.0,0.0,0.02,0.0,2.0,0.54,3.0,5.549999999999997,3.08,1.0,3.0,1.44,2.0,3.0,1.76,1.0,3.0,1.06,2.0,5.0,2.22,2.0,5.0,2.36,24.5,37.0,25.58,6000.0,6000.0,6000,0.0,0.0,2,30.0,30.0,30,20.0,20.0,20,0.0,0.0,0,15.0,15.0,15,220.0,230.99999999999994,211,5486.0,5486.0,5486,1620.0,1797.4999999999998,1642,25.0,65.49999999999997,28.6,160.0,160.0,160,7860.0,7860.0,7860,7074.0,7074.0,7074,17000.0,17000.0,17000,1.0,1.0,0.64,,,,100.0,200.0,113,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,10.0,43.24999999999996,13.3,70.0,70.0,70,40.0,40.0,40,2.0,2.0,2,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,2.0,2.0,2,1.0,2.0,0.7,0.0,1.0,0.4,30.0,30.0,18,0.0,1.0,0.08,0.0,1.0,0.26,0.0,0.0,0.02,,,,,,,,,,,,,,,,,,
5,3.0,3.0,3,0.0,2.0,0.54,0.0,0.0,0.02,,,,0.0,2.0,0.64,3.0,5.549999999999997,3.12,1.0,3.0,1.4,1.0,3.549999999999997,1.44,1.0,3.0,1,2.0,5.0,2.4,2.0,5.0,2.46,23.5,37.55,25.88,6000.0,6000.0,6000,0.0,50.0,5,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,19.0,19.0,19,240.0,290.0,248,3420.0,3420.0,3420,2000.0,2250.0,2041,37.5,70.0,35.8,200.0,200.0,200,7860.0,7860.0,7860,7074.0,7074.0,7074,17000.0,17000.0,17000,1.0,1.0,0.6,,,,150.0,200.0,119,200.0,200.0,200,100.0,100.0,100,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,10.0,53.24999999999996,15,70.0,150.0,77.8,40.0,40.0,40,2.0,2.0,2,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,3.0,3.0,3,1.0,2.0,0.94,1.0,2.0,0.92,0.0,30.0,12,0.0,1.0,0.16,0.0,1.0,0.18,0.0,0.5499999999999972,0.06,,,,,,,,,,,,,,,,,,
6,3.0,3.0,3,1.0,1.0,0.66,0.0,0.0,0.04,,,,0.0,2.0,0.48,3.0,6.0,2.82,1.0,3.0,1.48,1.5,5.0,1.8,1.0,3.0,1.38,2.0,4.0,1.94,3.0,5.0,2.44,21.5,33.55,22.82,6000.0,6000.0,6000,30.0,80.0,34,40.0,40.0,40,20.0,20.0,20,0.0,0.0,0,23.0,23.0,23,330.0,380.0,342,354.0,354.0,354,2280.0,2480.0,2262,10.0,40.0,13.7,240.0,240.0,240,7860.0,7860.0,7860,7074.0,7074.0,7074,18000.0,18000.0,18000,1.0,1.0,0.54,,,,150.0,250.0,141,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,10.0,53.24999999999996,15.7,70.0,70.0,57.8,40.0,40.0,40,2.0,2.0,2,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,3.0,3.0,3,1.0,2.0,0.72,1.0,2.0,1.1,,,,0.0,1.0,0.1,0.0,1.0,0.3,0.0,0.5499999999999972,0.06,,,,,,,,,,,,,,,,,,
7,3.0,3.0,3,0.0,2.0,0.54,,,,,,,0.0,2.0,0.64,3.0,6.0,3.18,1.0,3.549999999999997,1.24,2.0,4.0,1.64,1.0,3.549999999999997,1.32,2.5,4.549999999999997,2.4,2.0,4.0,2.04,26.0,35.0,26.52,6000.0,6000.0,6000,0.0,27.499999999999858,3,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,24.0,24.0,24,350.0,400.0,365,1788.0,1788.0,1788,3495.0,3720.0,3480,20.0,57.749999999999986,23.8,0.0,0.0,0,7860.0,7860.0,7860,7074.0,7074.0,7074,13500.0,13500.0,13500,1.0,1.0,0.6,,,,100.0,250.0,128,350.0,350.0,350,100.0,100.0,100,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,10.0,35.0,11.7,70.0,70.0,71.6,40.0,40.0,40,2.0,2.0,2,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,2.0,2.0,2,1.0,1.0,0.62,0.0,1.0,0.46,,,,0.0,1.0,0.08,0.0,1.0,0.32,,,,2.0,2.0,2,100.0,100.0,100,560.0,560.0,560,50.0,50.0,50,,,,,,
8,3.0,3.0,3,0.0,2.0,0.56,,,,,,,0.0,1.0,0.44,3.0,5.0,3,1.0,3.0,1.26,1.0,3.0,1.5,1.0,3.0,1.02,2.0,4.0,2.12,2.0,4.0,2.1,20.0,30.0,20.68,6000.0,6000.0,6000,0.0,50.0,10,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,24.0,24.0,24,395.0,420.0,395,733.0,733.0,733,3950.0,4250.0,3924,10.0,25.0,11.4,0.0,0.0,0,6550.0,6550.0,6550,5895.0,5895.0,5895,13500.0,13500.0,13500,1.0,1.0,0.6,,,,100.0,227.49999999999986,114,100.0,100.0,100,100.0,100.0,100,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,10.0,32.749999999999986,15.8,50.0,70.0,48.2,,,,2.0,2.0,2,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,3.0,3.0,3,1.0,2.0,0.76,1.0,2.0,0.84,,,,0.0,1.0,0.08,0.0,1.0,0.3,0.0,0.0,0.02,3.0,3.0,3,150.0,150.0,150,,,,,,,,,,,,
9,3.0,3.0,3,1.0,2.0,0.7,,,,,,,0.5,1.0,0.54,3.0,4.549999999999997,2.78,1.0,3.549999999999997,1.34,1.0,3.0,1.52,1.0,3.549999999999997,1.3,2.0,4.0,1.76,2.0,4.0,2.06,20.5,29.0,20.28,6000.0,6000.0,6000,,,,20.0,20.0,20,20.0,20.0,20,0.0,0.0,0,24.0,24.0,24,435.0,460.0,435,3678.0,3678.0,3678,4280.0,4585.0,4236,15.0,25.0,13.4,0.0,0.0,0,6550.0,6550.0,6550,5895.0,5895.0,5895,9500.0,9500.0,9500,1.0,1.0,0.52,,,,100.0,250.0,132,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,50.0,22,50.0,70.0,40,,,,2.0,2.0,2,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,3.0,3.0,3,0.0,2.0,0.54,1.0,2.0,0.88,,,,0.0,1.0,0.16,0.0,1.0,0.24,0.0,1.0,0.08,2.0,2.0,2,100.0,100.0,100,,,,,,,,,,,,
10,3.0,3.0,3,0.0,2.0,0.44,,,,,,,0.0,2.0,0.54,3.0,4.0,2.66,1.0,3.549999999999997,1.34,1.0,4.0,1.6,1.0,3.0,1.26,2.0,4.0,2.02,2.0,4.0,2.14,20.0,30.549999999999997,20.08,6000.0,6000.0,6000,0.0,27.499999999999858,3,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,24.0,24.0,24,480.0,480.0,458,1873.0,1873.0,1873,4760.0,5060.0,4746,10.0,25.0,12.5,0.0,0.0,0,6550.0,6550.0,6550,5895.0,5895.0,5895,14250.0,14250.0,14250,1.0,1.0,0.58,,,,125.0,200.0,130,150.0,150.0,150,100.0,100.0,100,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,10.0,35.0,14.9,20.0,70.0,35.8,,,,2.0,2.0,2,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,2.0,2.0,2,0.0,1.0,0.38,1.0,1.5499999999999972,0.6,,,,0.0,1.0,0.1,0.0,1.0,0.26,0.0,0.5499999999999972,0.06,3.0,3.0,3,150.0,150.0,150,,,,,,,,,,,,
