day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_decor_kept_cat_tree_p50,board_decor_kept_cat_tree_p95,board_decor_kept_cat_tree_mean,board_decor_kept_cherry_tree_p50,board_decor_kept_cherry_tree_p95,board_decor_kept_cherry_tree_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_in_step_chest_p50,gold_in_step_chest_p95,gold_in_step_chest_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_workshop_dupe_p50,love_petals_in_workshop_dupe_p95,love_petals_in_workshop_dupe_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,step_chests_opened_p50,step_chests_opened_p95,step_chests_opened_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,workshop_box_opened_p50,workshop_box_opened_p95,workshop_box_opened_mean,workshop_gift_accessory_p50,workshop_gift_accessory_p95,workshop_gift_accessory_mean,workshop_gift_flower_p50,workshop_gift_flower_p95,workshop_gift_flower_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,diamonds_in_board_milestone_p50,diamonds_in_board_milestone_p95,diamonds_in_board_milestone_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,gold_in_adoption_p50,gold_in_adoption_p95,gold_in_adoption_mean,bond_points_gain_p50,bond_points_gain_p95,bond_points_gain_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean
1,0.0,0.0,0,0.0,1.0,0.4,1.0,3.0,0.84,0.0,1.0,0.48,0.0,1.0,0.3,2.0,4.0,1.86,1.0,3.0,0.84,1.0,2.0,1.02,0.0,2.0,0.58,3.0,6.0,3.2,2.0,4.0,1.8,9.0,18.0,10.68,6000.0,6000.0,6000,0.0,0.0,0.6,0.0,0.0,0,0.0,0.0,0,4.0,4.0,4,0.0,0.0,0.6,360.0,360.0,360,380.0,430.0,385,0.0,0.0,0.1,40.0,40.0,40,7860.0,7860.0,7860,7500.0,7500.0,7500,1.0,1.0,1,300.0,300.0,300,0.0,50.0,5,100.0,100.0,100,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,0.0,0.0,0.5,0.0,0.0,0.4,40.0,40.0,40,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,2.0,2.0,2,1.0,2.0,1.24,1.0,2.0,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0,0.0,1.0,0.44,1.0,2.0,0.92,0.0,1.0,0.22,0.0,2.0,0.5,2.0,4.0,2.04,1.0,2.0,1.04,1.0,3.549999999999997,1.34,1.0,2.0,0.7,2.0,4.0,1.98,2.0,4.0,1.96,13.0,24.549999999999997,13.42,6000.0,6000.0,6000,0.0,0.0,1.2,20.0,20.0,20,0.0,0.0,0,5.0,5.0,5,20.0,36.499999999999915,21.8,3970.0,3970.0,3970,610.0,660.0,595,0.0,10.0,4.4,80.0,80.0,80,7860.0,7860.0,7860,4250.0,4250.0,4250,1.0,1.0,0.64,200.0,200.0,200,0.0,100.0,30,0.0,0.0,0,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,5.0,20.0,5.9,0.0,20.0,1.6,40.0,40.0,40,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,3.0,3.0,3,2.0,3.0,1.74,1.0,2.0,0.7,0.0,0.0,0.04,0.0,1.0,0.24,0.0,1.0,0.08,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0,0.0,2.0,0.54,0.0,2.0,0.46,0.0,1.0,0.2,0.0,2.0,0.52,2.0,4.549999999999997,2.1,1.0,2.0,0.88,1.0,4.0,1.4,1.0,2.549999999999997,0.84,2.0,4.0,1.72,2.0,4.0,2,13.0,29.549999999999997,15.3,6000.0,6000.0,6000,0.0,30.0,10.8,0.0,0.0,0,0.0,0.0,0,7.0,7.0,7,50.0,80.0,62.6,3330.0,3330.0,3330,1065.0,1190.0,1078,5.0,15.0,5.8,120.0,120.0,120,7860.0,7860.0,7860,8500.0,8500.0,8500,1.0,1.0,0.54,300.0,300.0,300,50.0,150.0,53,150.0,150.0,150,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,10.0,32.749999999999986,9.6,0.0,20.0,8.2,40.0,40.0,40,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,3.0,3.0,3,1.0,3.0,1.32,1.0,2.0,0.94,0.0,1.0,0.1,0.0,1.0,0.3,0.0,0.5499999999999972,0.06,30.0,30.0,30,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0,0.0,2.0,0.5,0.0,2.0,0.48,0.0,1.0,0.08,0.0,2.0,0.5,2.0,4.0,2.32,1.0,3.0,1.36,1.0,3.549999999999997,1.42,1.0,2.549999999999997,0.84,1.0,3.0,1.52,1.0,3.549999999999997,1.54,13.0,26.64999999999999,13.9,6000.0,6000.0,6000,0.0,30.0,6.6,30.0,30.0,30,0.0,0.0,0,9.0,9.0,9,110.0,110.0,99.2,2690.0,2690.0,2690,1120.0,1297.5,1140,0.0,15.0,5.4,160.0,160.0,160,7860.0,7860.0,7860,8500.0,8500.0,8500,1.0,1.0,0.66,,,,75.0,177.49999999999986,82,0.0,0.0,0,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,0.0,25.0,7,0.0,20.0,7.4,40.0,40.0,40,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,2.0,2.0,2,1.0,2.0,0.76,1.0,2.0,0.66,0.0,1.0,0.1,0.0,1.0,0.18,0.0,0.5499999999999972,0.06,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0,0.0,2.0,0.44,0.0,1.0,0.2,0.0,0.0,0.02,0.0,2.0,0.48,2.0,5.0,2.38,1.0,3.0,1.14,1.0,3.0,1.34,1.0,2.0,0.74,2.0,4.0,1.68,2.0,3.0,1.8,14.0,28.549999999999997,15.82,6000.0,6000.0,6000,0.0,30.0,7.8,0.0,0.0,0,0.0,0.0,0,11.0,11.0,11,110.0,140.0,110.6,2050.0,2050.0,2050,1400.0,1577.5,1403,5.0,15.0,5.5,200.0,200.0,200,7860.0,7860.0,7860,8500.0,8500.0,8500,1.0,1.0,0.62,,,,100.0,150.0,83,200.0,200.0,200,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,10.0,35.0,12.1,20.0,20.0,12,40.0,40.0,40,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,3.0,3.0,3,1.0,2.549999999999997,1.06,1.0,3.0,0.88,0.0,0.0,0.02,0.0,1.0,0.32,0.0,0.0,0.04,0.0,30.0,3.6,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0,0.0,2.0,0.5,0.0,0.5499999999999972,0.06,,,,0.0,2.0,0.54,2.0,4.0,2.36,1.0,3.0,1.28,1.0,3.0,1.28,0.0,2.0,0.6,2.0,4.0,1.68,1.5,3.549999999999997,1.76,14.0,29.64999999999999,16.44,6000.0,6000.0,6000,30.0,60.0,34.4,40.0,40.0,40,0.0,0.0,0,13.0,13.0,13,210.0,210.0,211.4,1410.0,1410.0,1410,1480.0,1657.5,1474,5.0,20.0,6.1,240.0,240.0,240,7860.0,7860.0,7860,8500.0,8500.0,8500,1.0,1.0,0.76,,,,100.0,200.0,91,0.0,0.0,0,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,15.0,58.74999999999993,18.2,20.0,60.99999999999994,17.6,40.0,40.0,40,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,3.0,3.0,3,1.0,2.0,0.6,1.0,2.549999999999997,1,0.0,1.0,0.08,0.0,1.0,0.14,0.0,0.0,0.02,30.0,30.0,26.4,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0,0.0,2.0,0.5,0.0,0.0,0.04,,,,0.5,2.0,0.7,2.0,4.549999999999997,2.18,1.0,3.549999999999997,1.32,1.0,3.0,0.98,1.0,2.0,0.88,1.5,3.0,1.62,2.0,4.0,1.82,19.0,35.0,21.6,6000.0,6000.0,6000,0.0,0.0,0.6,0.0,0.0,0,0.0,0.0,0,15.0,15.0,15,210.0,210.0,212,770.0,770.0,770,2470.0,2620.0,2472,7.5,15.0,6.9,0.0,0.0,0,7860.0,7860.0,7860,8500.0,8500.0,8500,1.0,1.0,0.6,,,,100.0,227.49999999999986,108,350.0,350.0,350,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,10.0,25.0,11.2,70.0,70.0,60.4,40.0,40.0,40,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,2.0,2.0,2,0.0,2.0,0.46,1.0,1.5499999999999972,0.6,0.0,1.0,0.1,0.0,1.0,0.22,0.0,1.0,0.08,,,,560.0,560.0,560,50.0,50.0,50,,,,,,,,,,,,
8,0.0,0.0,0,0.0,1.0,0.32,,,,,,,0.0,1.5499999999999972,0.42,2.0,4.0,2.06,1.0,3.0,0.98,1.0,3.0,1.32,1.0,2.0,0.8,1.0,3.0,1.42,1.5,4.0,1.68,15.5,25.549999999999997,15.66,6000.0,6000.0,6000,0.0,0.0,2,0.0,0.0,0,0.0,0.0,0,16.0,16.0,16,210.0,260.0,214,3070.0,3070.0,3070,2650.0,2800.0,2641,10.0,17.749999999999986,7.9,0.0,0.0,0,6550.0,6550.0,6550,4250.0,4250.0,4250,0.0,1.0,0.48,,,,100.0,177.49999999999986,89,100.0,100.0,100,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,20.0,53.24999999999996,17.8,20.0,60.99999999999994,16.8,,,,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,3.0,3.0,3,1.0,2.0,0.88,1.0,2.0,0.78,0.0,1.0,0.1,0.0,1.0,0.36,0.0,0.5499999999999972,0.06,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0,0.0,2.0,0.6,,,,,,,0.0,2.0,0.46,2.0,4.0,1.96,1.0,3.0,1.04,1.0,3.0,1.26,0.5,2.549999999999997,0.8,1.0,3.0,1.4,1.0,3.0,1.48,15.5,28.64999999999999,16.44,6000.0,6000.0,6000,0.0,50.0,4,20.0,20.0,20,0.0,0.0,0,18.0,18.0,18,230.0,280.0,238,1120.0,1120.0,1120,2680.0,2930.0,2713,10.0,22.749999999999986,8.5,0.0,0.0,0,6550.0,6550.0,6550,8500.0,8500.0,8500,1.0,1.0,0.54,,,,100.0,200.0,92,0.0,0.0,0,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,20.0,58.74999999999993,22.6,20.0,60.99999999999994,22,,,,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,3.0,3.0,3,0.0,2.0,0.46,1.0,2.549999999999997,0.76,0.0,1.0,0.12,0.0,1.0,0.32,0.0,0.0,0.02,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0,0.0,2.0,0.44,,,,,,,0.0,2.0,0.36,3.0,4.549999999999997,2.6,1.0,2.0,0.76,1.0,2.549999999999997,1.06,1.0,2.0,0.94,2.0,3.0,1.54,1.0,3.0,1.3,13.5,27.749999999999986,15.04,6000.0,6000.0,6000,,,,0.0,0.0,0,0.0,0.0,0,19.0,19.0,19,230.0,280.0,238,3420.0,3420.0,3420,2910.0,3160.0,2928,10.0,17.749999999999986,7.7,0.0,0.0,0,6550.0,6550.0,6550,4250.0,4250.0,4250,1.0,1.0,0.68,,,,100.0,177.49999999999986,85,150.0,150.0,150,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,15.0,35.0,16.6,20.0,36.499999999999915,17.4,,,,2.0,2.0,2,8000.0,8000.0,8000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,2.0,2.0,2,0.0,1.0,0.14,0.0,2.0,0.52,0.0,0.0,0.02,0.0,1.0,0.28,0.0,0.0,0.02,,,,,,,,,,,,,,,,,,,,,
