day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_decor_kept_cat_tree_p50,board_decor_kept_cat_tree_p95,board_decor_kept_cat_tree_mean,board_decor_kept_cherry_tree_p50,board_decor_kept_cherry_tree_p95,board_decor_kept_cherry_tree_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_in_step_chest_p50,gold_in_step_chest_p95,gold_in_step_chest_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_in_workshop_dupe_p50,love_petals_in_workshop_dupe_p95,love_petals_in_workshop_dupe_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,step_chests_opened_p50,step_chests_opened_p95,step_chests_opened_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,workshop_box_opened_p50,workshop_box_opened_p95,workshop_box_opened_mean,workshop_gift_accessory_p50,workshop_gift_accessory_p95,workshop_gift_accessory_mean,workshop_gift_flower_p50,workshop_gift_flower_p95,workshop_gift_flower_mean,diamonds_in_board_milestone_p50,diamonds_in_board_milestone_p95,diamonds_in_board_milestone_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,gold_in_adoption_p50,gold_in_adoption_p95,gold_in_adoption_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,bond_points_gain_p50,bond_points_gain_p95,bond_points_gain_mean
1,3.0,3.0,3,0.0,2.0,0.42,1.0,2.549999999999997,1.14,1.0,1.0,0.54,0.0,1.0,0.3,3.0,5.0,2.86,1.0,2.549999999999997,1.14,2.0,3.549999999999997,1.68,1.0,2.0,0.74,4.0,6.0,3.6,2.0,4.549999999999997,2.26,16.0,26.0,18.1,6000.0,6000.0,6000,0.0,0.0,0.6,0.0,0.0,0,0.0,0.0,0,4.0,4.0,4,0.0,0.0,0.6,7434.0,7434.0,7434,380.0,430.0,390,0.0,0.0,0.2,40.0,40.0,40,7860.0,7860.0,7860,7074.0,7074.0,7074,7500.0,7500.0,7500,1.0,1.0,1,300.0,300.0,300,0.0,50.0,10,100.0,100.0,100,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,0.0,0.0,0.2,50.0,50.0,50,40.0,40.0,40,2.0,2.0,2,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,2.0,2.0,2,1.0,2.0,1.3,1.0,2.0,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,3.0,3,0.0,2.0,0.64,1.0,2.549999999999997,1.14,0.0,1.0,0.34,1.0,2.0,0.7,3.0,5.0,2.66,1.0,3.0,1.46,2.0,3.0,1.68,1.0,2.549999999999997,1.12,2.0,4.0,2.16,2.0,5.549999999999997,2.58,22.5,32.099999999999994,22.18,6000.0,6000.0,6000,0.0,30.0,11.4,20.0,20.0,20,0.0,0.0,0,7.0,7.0,7,50.0,80.0,53,9618.0,9618.0,9618,610.0,710.0,625,0.0,10.0,4.6,80.0,80.0,80,7860.0,7860.0,7860,7074.0,7074.0,7074,12750.0,12750.0,12750,1.0,1.0,0.56,200.0,200.0,200,50.0,127.49999999999986,55,0.0,0.0,0,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,5.0,20.0,6,50.0,70.0,51.6,40.0,40.0,40,2.0,2.0,2,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,3.0,3.0,3,2.0,3.0,1.66,1.0,2.0,0.74,30.0,30.0,21,0.0,1.0,0.12,0.0,1.0,0.28,0.0,0.0,0.04,,,,,,,,,,,,,,,,,,
3,3.0,3.0,3,1.0,2.549999999999997,0.76,0.0,2.0,0.44,0.0,1.0,0.1,1.0,2.0,0.68,3.0,5.549999999999997,2.94,1.0,3.0,1.26,2.0,4.099999999999994,1.62,1.0,3.0,1.16,2.0,4.0,2.24,2.0,4.549999999999997,2.34,22.5,34.099999999999994,23.26,6000.0,6000.0,6000,30.0,30.0,19,0.0,0.0,0,0.0,0.0,0,11.0,11.0,11,80.0,80.0,81,7552.0,7552.0,7552,1140.0,1240.0,1149,0.0,15.499999999999972,5.7,120.0,120.0,120,7860.0,7860.0,7860,7074.0,7074.0,7074,17000.0,17000.0,17000,1.0,1.0,0.68,300.0,300.0,300,100.0,200.0,94,150.0,150.0,150,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,10.0,25.49999999999997,9.1,50.0,70.0,58,40.0,40.0,40,2.0,2.0,2,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,3.0,3.0,3,1.0,3.0,1.36,1.0,2.0,0.86,0.0,30.0,9,0.0,1.0,0.08,0.0,1.0,0.2,0.0,0.0,0.04,,,,,,,,,,,,,,,,,,
4,3.0,3.0,3,0.0,2.0,0.54,0.0,1.5499999999999972,0.22,0.0,0.0,0.02,0.0,2.0,0.54,3.0,5.549999999999997,3.08,1.0,3.0,1.44,2.0,3.0,1.76,1.0,3.0,1.06,2.0,5.0,2.22,2.0,5.0,2.36,22.0,34.0,23.08,6000.0,6000.0,6000,0.0,0.0,2,30.0,30.0,30,0.0,0.0,0,15.0,15.0,15,140.0,150.99999999999994,131,5486.0,5486.0,5486,1220.0,1397.4999999999998,1242,10.0,27.749999999999986,9,160.0,160.0,160,7860.0,7860.0,7860,7074.0,7074.0,7074,17000.0,17000.0,17000,1.0,1.0,0.64,,,,100.0,200.0,113,0.0,0.0,0,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,10.0,43.24999999999996,13.3,60.0,70.0,60,40.0,40.0,40,2.0,2.0,2,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,2.0,2.0,2,1.0,2.0,0.7,0.0,1.0,0.4,30.0,30.0,18,0.0,1.0,0.08,0.0,1.0,0.26,0.0,0.0,0.02,,,,,,,,,,,,,,,,,,
5,3.0,3.0,3,0.0,2.0,0.54,0.0,0.0,0.02,,,,0.0,2.0,0.64,3.0,5.549999999999997,3.12,1.0,3.0,1.4,1.0,3.549999999999997,1.44,1.0,3.0,1,2.0,5.0,2.4,2.0,5.0,2.46,23.0,37.0,24.18,6000.0,6000.0,6000,0.0,50.0,5,0.0,0.0,0,0.0,0.0,0,19.0,19.0,19,140.0,190.0,148,3420.0,3420.0,3420,1500.0,1750.0,1541,10.0,28.74999999999993,9.6,200.0,200.0,200,7860.0,7860.0,7860,7074.0,7074.0,7074,17000.0,17000.0,17000,1.0,1.0,0.6,,,,150.0,200.0,119,200.0,200.0,200,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,10.0,53.24999999999996,15,70.0,70.0,64.4,40.0,40.0,40,2.0,2.0,2,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,3.0,3.0,3,1.0,2.0,0.94,1.0,2.0,0.92,0.0,30.0,12,0.0,1.0,0.16,0.0,1.0,0.18,0.0,0.5499999999999972,0.06,,,,,,,,,,,,,,,,,,
6,3.0,3.0,3,1.0,1.0,0.66,0.0,0.0,0.04,,,,0.0,2.0,0.48,3.0,6.0,2.82,1.0,3.0,1.48,1.5,5.0,1.8,1.0,3.0,1.38,2.0,4.0,1.94,3.0,5.0,2.44,16.5,28.549999999999997,18.22,6000.0,6000.0,6000,30.0,80.0,34,40.0,40.0,40,0.0,0.0,0,23.0,23.0,23,210.0,260.0,222,354.0,354.0,354,1680.0,1880.0,1662,10.0,15.0,7.5,240.0,240.0,240,7860.0,7860.0,7860,7074.0,7074.0,7074,18000.0,18000.0,18000,1.0,1.0,0.54,,,,150.0,250.0,141,0.0,0.0,0,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,,,,10.0,53.24999999999996,15.7,20.0,70.0,17.8,40.0,40.0,40,2.0,2.0,2,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,3.0,3.0,3,1.0,2.0,0.72,1.0,2.0,1.1,,,,0.0,1.0,0.1,0.0,1.0,0.3,0.0,0.5499999999999972,0.06,,,,,,,,,,,,,,,,,,
7,3.0,3.0,3,0.0,2.0,0.54,,,,,,,0.0,2.0,0.64,3.0,6.0,3.18,1.0,3.549999999999997,1.24,2.0,4.0,1.64,1.0,3.549999999999997,1.32,2.5,4.549999999999997,2.4,2.0,4.0,2.04,23.0,35.0,24.52,6000.0,6000.0,6000,0.0,27.499999999999858,3,0.0,0.0,0,0.0,0.0,0,24.0,24.0,24,210.0,260.0,225,1788.0,1788.0,1788,2795.0,3020.0,2780,7.5,20.49999999999997,7.6,0.0,0.0,0,7860.0,7860.0,7860,7074.0,7074.0,7074,13500.0,13500.0,13500,1.0,1.0,0.6,,,,100.0,250.0,128,350.0,350.0,350,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,,,,10.0,35.0,11.7,70.0,70.0,61.6,40.0,40.0,40,2.0,2.0,2,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,2.0,2.0,2,1.0,1.0,0.62,0.0,1.0,0.46,,,,0.0,1.0,0.08,0.0,1.0,0.32,,,,2.0,2.0,2,100.0,100.0,100,560.0,560.0,560,50.0,50.0,50,,,,,,
8,3.0,3.0,3,0.0,2.0,0.56,,,,,,,0.0,1.0,0.44,3.0,5.0,3,1.0,3.0,1.26,1.0,3.0,1.5,1.0,3.0,1.02,2.0,4.0,2.12,2.0,4.0,2.1,16.0,28.19999999999999,17.38,6000.0,6000.0,6000,0.0,50.0,10,0.0,0.0,0,0.0,0.0,0,24.0,24.0,24,235.0,260.0,235,733.0,733.0,733,3150.0,3450.0,3124,10.0,25.0,9.4,0.0,0.0,0,6550.0,6550.0,6550,5895.0,5895.0,5895,13500.0,13500.0,13500,1.0,1.0,0.6,,,,100.0,227.49999999999986,114,100.0,100.0,100,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,,,,10.0,32.749999999999986,15.8,20.0,20.0,14,,,,2.0,2.0,2,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,3.0,3.0,3,1.0,2.0,0.76,1.0,2.0,0.84,,,,0.0,1.0,0.08,0.0,1.0,0.3,0.0,0.0,0.02,3.0,3.0,3,150.0,150.0,150,,,,,,,,,,,,
9,3.0,3.0,3,1.0,2.0,0.7,,,,,,,0.5,1.0,0.54,3.0,4.549999999999997,2.78,1.0,3.549999999999997,1.34,1.0,3.0,1.52,1.0,3.549999999999997,1.3,2.0,4.0,1.76,2.0,4.0,2.06,19.0,28.0,18.18,6000.0,6000.0,6000,,,,20.0,20.0,20,0.0,0.0,0,24.0,24.0,24,255.0,280.0,255,3678.0,3678.0,3678,3380.0,3685.0,3336,10.0,25.0,8.8,0.0,0.0,0,6550.0,6550.0,6550,5895.0,5895.0,5895,9500.0,9500.0,9500,1.0,1.0,0.52,,,,100.0,250.0,132,0.0,0.0,0,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,,,,20.0,50.0,22,20.0,50.0,22.6,,,,2.0,2.0,2,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,3.0,3.0,3,0.0,2.0,0.54,1.0,2.0,0.88,,,,0.0,1.0,0.16,0.0,1.0,0.24,0.0,1.0,0.08,2.0,2.0,2,100.0,100.0,100,,,,,,,,,,,,
10,3.0,3.0,3,0.0,2.0,0.44,,,,,,,0.0,2.0,0.54,3.0,4.0,2.66,1.0,3.549999999999997,1.34,1.0,4.0,1.6,1.0,3.0,1.26,2.0,4.0,2.02,2.0,4.0,2.14,17.5,29.0,17.88,6000.0,6000.0,6000,0.0,27.499999999999858,3,0.0,0.0,0,0.0,0.0,0,24.0,24.0,24,280.0,280.0,258,1873.0,1873.0,1873,3760.0,4060.0,3746,10.0,17.749999999999986,8.1,0.0,0.0,0,6550.0,6550.0,6550,5895.0,5895.0,5895,14250.0,14250.0,14250,1.0,1.0,0.58,,,,125.0,200.0,130,150.0,150.0,150,50.0,50.0,50,30.0,30.0,30,100.0,100.0,100,24.0,24.0,24,,,,10.0,35.0,14.9,20.0,50.0,15.6,,,,2.0,2.0,2,8000.0,8000.0,8000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,2.0,2.0,2,0.0,1.0,0.38,1.0,1.5499999999999972,0.6,,,,0.0,1.0,0.1,0.0,1.0,0.26,0.0,0.5499999999999972,0.06,3.0,3.0,3,150.0,150.0,150,,,,,,,,,,,,
