day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_decor_kept_cat_tree_p50,board_decor_kept_cat_tree_p95,board_decor_kept_cat_tree_mean,board_decor_kept_cherry_tree_p50,board_decor_kept_cherry_tree_p95,board_decor_kept_cherry_tree_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,diamonds_in_board_milestone_p50,diamonds_in_board_milestone_p95,diamonds_in_board_milestone_mean,energy_overflow_cutoff_p50,energy_overflow_cutoff_p95,energy_overflow_cutoff_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,love_petals_in_adoption_p50,love_petals_in_adoption_p95,love_petals_in_adoption_mean
1,3.0,3.0,3,0.0,2.0,0.46,1.0,3.0,1.24,0.0,1.0,0.46,0.0,1.0,0.38,3.0,4.549999999999997,2.66,1.0,3.0,1.24,2.0,4.0,1.76,0.0,2.0,0.62,3.5,6.0,3.7,2.0,5.0,2.08,17.0,26.0,18.62,5000.0,6000.0,5180,0.0,1.0,0.1,0.0,0.0,0.6,0.0,0.0,0,0.0,0.0,0,4.0,4.0,4,0.0,0.0,0.6,1450.0,1450.0,1450,350.0,400.0,353,0.0,0.0,0,25.0,25.0,25,5200.0,5200.0,5200,9000.0,9000.0,9000,12750.0,12750.0,12750,1.0,1.0,1,300.0,300.0,300,0.0,50.0,8,100.0,100.0,90,50.0,50.0,50,100.0,100.0,95,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,1.9,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,3.0,3,1.0,2.0,0.74,1.0,2.0,0.84,0.0,1.0,0.42,0.0,2.0,0.72,3.0,5.549999999999997,3.38,1.0,3.0,1.22,1.0,3.549999999999997,1.56,1.0,2.0,0.96,2.0,5.0,2.26,2.0,4.549999999999997,2.16,21.0,38.55,22.74,6000.0,6000.0,5580,0.0,1.0,0.12,0.0,30.0,9,20.0,20.0,17.6,0.0,0.0,0,7.0,7.0,7,50.0,80.0,47,2250.0,2250.0,2250,550.0,627.4999999999999,549,0.0,0.0,0,50.0,50.0,50,5200.0,5200.0,5200,9000.0,9000.0,9000,12750.0,12750.0,12750,0.0,1.0,0.46,200.0,200.0,200,50.0,100.0,46,0.0,0.0,0,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,30.0,30.0,19.8,650.0,650.0,650,0.0,1.0,0.1,0.0,1.0,0.38,0.0,0.5499999999999972,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3.0,3.0,3,1.0,2.549999999999997,0.88,0.0,1.5499999999999972,0.52,0.0,1.0,0.1,1.0,2.0,0.62,2.0,5.549999999999997,2.68,1.0,4.0,1.42,1.0,3.549999999999997,1.5,1.0,3.0,1.02,2.5,4.549999999999997,2.34,2.0,5.549999999999997,2.54,21.0,31.0,20.54,6000.0,7500.0,5850,0.0,1.0,0.12,0.0,30.0,14.4,0.0,0.0,0,0.0,0.0,0,10.0,10.0,10,80.0,80.0,71.6,2250.0,2250.0,2250,700.0,900.0,722,0.0,0.0,0,75.0,75.0,75,5200.0,5200.0,5200,9000.0,9000.0,9000,12750.0,12750.0,12750,1.0,1.0,0.6,,,,50.0,250.0,91,150.0,150.0,132,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,0.0,30.0,10.2,1450.0,1450.0,1450,0.0,1.0,0.12,0.0,1.0,0.18,0.0,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3.0,3.0,3,0.0,2.0,0.62,0.0,1.0,0.22,,,,0.0,1.0,0.44,2.0,5.0,2.74,1.0,3.0,1.36,2.0,4.0,1.84,1.0,4.0,1.42,2.0,4.549999999999997,2.34,2.0,4.0,2.24,16.5,27.549999999999997,18.92,6000.0,7500.0,5960,0.0,1.0,0.1,0.0,30.0,7,30.0,30.0,27,0.0,0.0,0,13.0,13.0,13,110.0,140.0,119.4,2250.0,2250.0,2250,800.0,1027.5,800,0.0,0.0,0,100.0,100.0,100,5200.0,5200.0,5200,9000.0,9000.0,9000,12750.0,12750.0,12750,1.0,1.0,0.56,,,,150.0,227.49999999999986,128,0.0,0.0,0,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,0.0,30.0,13.8,1450.0,1450.0,1450,0.0,1.0,0.24,0.0,1.0,0.16,0.0,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3.0,3.0,3,1.0,2.0,0.66,0.0,0.5499999999999972,0.1,,,,1.0,2.0,0.72,3.0,5.549999999999997,2.68,1.0,3.0,1.56,2.0,5.0,1.94,1.0,2.549999999999997,0.86,2.0,4.0,1.9,2.0,5.0,2.68,22.0,34.19999999999999,22.48,6000.0,7500.0,6300,0.0,1.0,0.1,0.0,0.0,2,0.0,0.0,0,0.0,0.0,0,16.0,16.0,16,140.0,167.49999999999986,137.6,2250.0,2250.0,2250,1050.0,1227.5,1046,0.0,0.0,0,125.0,125.0,125,5200.0,5200.0,5200,9000.0,9000.0,9000,12750.0,12750.0,12750,1.0,1.0,0.54,,,,100.0,227.49999999999986,116,200.0,200.0,180,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,30.0,30.0,16.2,1450.0,1450.0,1450,0.0,0.5499999999999972,0.06,0.0,1.0,0.36,0.0,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3.0,3.0,3,0.0,1.5499999999999972,0.54,0.0,0.5499999999999972,0.08,0.0,0.0,0.02,0.5,2.0,0.66,3.0,6.0,3.44,1.5,3.0,1.6,1.0,3.549999999999997,1.26,1.0,2.0,1.08,2.0,4.549999999999997,1.98,2.0,5.0,2.44,16.5,29.19999999999999,16.56,5000.0,5000.0,5000,0.0,1.0,0.14,0.0,50.0,4,40.0,40.0,34.4,0.0,0.0,0,19.0,19.0,19,180.0,230.0,176,2250.0,2250.0,2250,1100.0,1350.0,1125,0.0,0.0,0,150.0,150.0,150,5200.0,5200.0,5200,9000.0,9000.0,9000,12750.0,12750.0,12750,1.0,1.0,0.62,,,,100.0,250.0,129,0.0,0.0,0,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,,,,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,,,,1450.0,1450.0,1450,0.0,1.0,0.08,0.0,1.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3.0,3.0,3,1.0,2.0,0.68,,,,,,,1.0,2.0,0.6,3.0,5.549999999999997,2.76,1.0,3.549999999999997,1.52,2.0,4.0,1.78,1.0,3.0,1.3,2.0,4.549999999999997,2.08,2.0,4.0,2.28,19.5,29.0,19.5,5000.0,6000.0,5280,0.0,1.0,0.16,0.0,50.0,6,0.0,0.0,0,0.0,0.0,0,22.0,22.0,22,180.0,230.0,182,2250.0,2250.0,2250,1875.0,2200.0,1860,0.0,0.0,0,0.0,0.0,0,5200.0,5200.0,5200,9000.0,9000.0,9000,12750.0,12750.0,12750,0.5,1.0,0.5,,,,150.0,250.0,141,350.0,350.0,294,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,50.0,50.0,42,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,13.0,13.0,13,,,,1450.0,1450.0,1450,0.0,1.0,0.24,0.0,1.0,0.2,0.0,0.5499999999999972,0.06,350.0,350.0,350,50.0,50.0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3.0,3.0,3,1.0,2.0,0.74,,,,,,,0.5,2.0,0.72,2.0,5.0,2.5,1.0,3.549999999999997,1.36,2.0,4.0,1.66,0.5,3.0,0.94,2.0,4.0,2.04,2.0,4.0,2.04,15.0,28.549999999999997,16.22,6000.0,6000.0,5650,0.0,1.0,0.08,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,24.0,24.0,24,180.0,230.0,183,500.0,500.0,500,2000.0,2277.5,1973,0.0,0.0,0,0.0,0.0,0,4700.0,4700.0,4700,9000.0,9000.0,9000,8500.0,8500.0,8500,1.0,1.0,0.6,0.0,0.0,6,100.0,250.0,115,100.0,100.0,92,,,,100.0,100.0,100,24.0,24.0,24,,,,,,,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,950.0,950.0,950,0.0,0.5499999999999972,0.06,0.0,1.0,0.3,0.0,0.0,0.04,,,,,,,6000.0,6000.0,6000,,,,,,,,,,,,,,,,,,,,,,,,
9,3.0,3.0,3,1.0,2.0,0.76,,,,,,,0.0,2.549999999999997,0.68,3.0,5.549999999999997,2.9,1.0,3.0,1.32,1.5,3.0,1.52,1.0,2.549999999999997,1.06,2.0,4.0,2.24,2.0,3.0,1.52,12.5,30.749999999999986,15.6,6000.0,7500.0,6120,0.0,0.5499999999999972,0.06,30.0,30.0,30,20.0,20.0,18.8,0.0,0.0,0,24.0,24.0,24,230.0,280.0,231.8,700.0,700.0,700,2100.0,2377.5,2022,0.0,3.0,1.2,0.0,0.0,0,4700.0,4700.0,4700,9000.0,9000.0,9000,,,,1.0,1.0,0.6,0.0,300.0,30,100.0,250.0,119,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,,,,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,,,,0.0,0.5499999999999972,0.06,0.0,1.0,0.26,0.0,1.0,0.08,,,,,,,12000.0,12000.0,12000,1500.0,1500.0,1500,0.0,3.0,1.2,0.0,1.0,0.28,0.0,1.0,0.4,0.0,1.0,0.32,,,,,,,,,
10,3.0,3.0,3,0.0,2.0,0.56,,,,,,,0.0,1.0,0.46,3.0,4.549999999999997,2.6,1.0,3.0,1.42,2.0,4.0,1.88,1.0,2.0,0.88,2.0,4.0,1.92,2.0,5.0,2.28,13.5,24.0,14.12,7500.0,7500.0,6820,0.0,1.0,0.14,,,,0.0,0.0,0,0.0,0.0,0,24.0,24.0,24,230.0,280.0,231.8,900.0,900.0,900,2350.0,2677.5,2298,3.0,6.0,2.16,0.0,0.0,0,4700.0,4700.0,4700,9000.0,9000.0,9000,,,,1.0,1.0,0.68,0.0,300.0,132,100.0,227.49999999999986,115,150.0,150.0,129,,,,100.0,100.0,100,24.0,24.0,24,,,,,,,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,,,,0.0,0.0,0.02,0.0,1.0,0.26,0.0,0.0,0.04,,,,,,,12000.0,12000.0,12000,1500.0,1500.0,1500,0.0,3.0,0.96,0.0,1.0,0.36,0.0,1.0,0.32,0.0,1.0,0.32,,,,,,,,,
