day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_decor_kept_cat_tree_p50,board_decor_kept_cat_tree_p95,board_decor_kept_cat_tree_mean,board_decor_kept_cherry_tree_p50,board_decor_kept_cherry_tree_p95,board_decor_kept_cherry_tree_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,diamonds_in_monthly_card_p50,diamonds_in_monthly_card_p95,diamonds_in_monthly_card_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_monthly_card_p50,gold_in_monthly_card_p95,gold_in_monthly_card_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_monthly_card_p50,love_petals_in_monthly_card_p95,love_petals_in_monthly_card_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,diamonds_in_board_milestone_p50,diamonds_in_board_milestone_p95,diamonds_in_board_milestone_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,love_petals_in_adoption_p50,love_petals_in_adoption_p95,love_petals_in_adoption_mean
1,0.0,0.0,0,0.0,1.0,0.32,1.0,2.0,0.76,0.0,1.0,0.4,0.0,1.0,0.32,2.0,5.0,1.98,1.0,2.0,0.76,1.0,3.549999999999997,1.44,0.0,2.0,0.5,3.0,6.0,2.8,2.0,4.549999999999997,1.88,14.0,23.0,15.98,5000.0,5000.0,5000,0.0,1.0,0.1,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,2.0,2.0,2,20.0,20.0,20,950.0,950.0,950,450.0,500.0,445,0.0,0.0,0,25.0,25.0,25,5200.0,5200.0,5200,4250.0,4250.0,4250,1.0,1.0,1,300.0,300.0,300,0.0,50.0,5,100.0,100.0,90,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,25.0,25.0,25,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0,0.0,2.0,0.48,1.0,2.0,0.76,0.0,1.0,0.26,0.0,1.0,0.32,2.0,4.549999999999997,2.28,1.0,2.0,0.84,2.0,3.549999999999997,1.66,0.0,2.0,0.58,2.0,4.0,2.12,1.0,4.0,1.72,14.0,25.19999999999999,16.36,5000.0,5000.0,5000,0.0,0.0,0.04,20.0,20.0,19.2,20.0,20.0,20,0.0,0.0,0,3.0,3.0,3,60.0,60.0,59.2,1900.0,1900.0,1900,700.0,800.0,715,0.0,0.0,0,50.0,50.0,50,5200.0,5200.0,5200,4250.0,4250.0,4250,1.0,1.0,0.72,200.0,200.0,200,0.0,77.49999999999986,20,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,25.0,25.0,25,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,0.0,1.0,0.1,0.0,1.0,0.14,0.0,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0,0.0,2.0,0.64,1.0,2.0,0.74,0.0,1.0,0.26,1.0,2.0,0.66,2.0,4.0,2.36,1.0,3.0,1.12,1.0,3.0,1.28,1.0,2.0,0.78,1.0,3.549999999999997,1.52,2.0,3.0,1.64,18.5,29.0,18.94,6000.0,6000.0,5600,0.0,1.0,0.1,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,4.0,4.0,4,110.0,110.0,109.8,2850.0,2850.0,2850,950.0,1077.4999999999998,945,0.0,0.0,0,75.0,75.0,75,5200.0,5200.0,5200,4250.0,4250.0,4250,1.0,1.0,0.6,,,,50.0,150.0,45,150.0,150.0,135,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,25.0,25.0,25,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,0.0,1.0,0.12,0.0,1.0,0.24,0.0,0.0,0.04,0.0,0.0,0.6,30.0,30.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0,0.5,2.0,0.62,0.0,1.0,0.26,0.0,1.0,0.08,0.0,1.0,0.48,2.0,4.0,2.1,1.0,2.0,0.9,1.0,3.0,1.2,1.0,2.549999999999997,0.78,2.0,4.0,1.9,2.0,4.549999999999997,2.02,16.5,25.64999999999999,17.54,6000.0,6000.0,5580,0.0,0.5499999999999972,0.06,30.0,30.0,28.2,20.0,20.0,20,0.0,0.0,0,5.0,5.0,5,160.0,190.0,161,800.0,800.0,800,1075.0,1250.0,1062,0.0,0.0,0,100.0,100.0,100,5200.0,5200.0,5200,4250.0,4250.0,4250,1.0,1.0,0.56,,,,50.0,150.0,67,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,25.0,25.0,25,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,0.0,1.0,0.18,0.0,1.0,0.2,0.0,0.5499999999999972,0.06,0.0,30.0,3,,,,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0,0.0,2.0,0.52,0.0,2.0,0.28,,,,0.0,2.0,0.48,2.0,4.0,2.36,1.0,3.0,1.1,1.0,3.549999999999997,1.62,1.0,2.0,0.98,1.0,3.0,1.36,1.0,4.0,1.58,16.5,27.64999999999999,17.34,5000.0,6000.0,5420,0.0,0.0,0.04,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,6.0,6.0,6,180.0,210.0,185.8,250.0,250.0,250,1400.0,1600.0,1394,0.0,3.0,1.14,125.0,125.0,125,5200.0,5200.0,5200,4250.0,4250.0,4250,1.0,1.0,0.52,,,,100.0,200.0,90,200.0,200.0,192,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,25.0,25.0,25,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,0.0,1.0,0.2,0.0,1.0,0.22,0.0,0.5499999999999972,0.06,0.0,30.0,3,0.0,16.499999999999915,1.8,,,,1500.0,1500.0,1500,0.0,3.0,1.14,0.0,1.0,0.32,0.0,1.0,0.38,0.0,1.0,0.3,,,,,,,,,,,,,,,
6,0.0,0.0,0,0.0,2.0,0.56,0.0,1.0,0.14,,,,0.0,2.0,0.38,2.0,5.0,2.44,1.0,2.549999999999997,0.86,1.0,3.0,1.08,1.0,2.0,0.72,2.0,4.0,2.14,2.0,4.0,1.82,16.0,28.0,17.3,5000.0,5000.0,5000,0.0,1.0,0.08,40.0,40.0,36.8,20.0,20.0,20,0.0,0.0,0,7.0,7.0,7,270.0,300.0,276.8,1200.0,1200.0,1200,1525.0,1727.4999999999998,1516,0.0,3.0,1.14,150.0,150.0,150,5200.0,5200.0,5200,4250.0,4250.0,4250,1.0,1.0,0.58,,,,50.0,150.0,72,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,25.0,25.0,25,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,0.0,1.0,0.1,0.0,1.0,0.28,0.0,0.0,0.04,0.0,30.0,6,30.0,30.0,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0,0.0,1.0,0.4,0.0,0.0,0.02,,,,0.0,2.0,0.56,2.0,4.0,2.22,1.0,2.0,1.06,1.0,3.0,1.46,0.5,2.0,0.76,2.0,4.0,2.06,1.0,3.0,1.48,23.0,35.0,23.46,5000.0,5000.0,5000,0.0,0.5499999999999972,0.06,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,8.0,8.0,8,320.0,320.0,302.2,2150.0,2150.0,2150,2350.0,2577.5,2335,0.0,3.0,1.14,0.0,0.0,0,5200.0,5200.0,5200,4250.0,4250.0,4250,0.0,1.0,0.48,,,,100.0,200.0,90,350.0,350.0,329,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,70.0,70.0,67,25.0,25.0,25,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,10.0,10.0,10,0.0,1.0,0.16,0.0,1.0,0.3,0.0,0.5499999999999972,0.06,0.0,30.0,5.4,,,,,,,,,,,,,,,,,,,,,,350.0,350.0,350,50.0,50.0,47,,,,,,,,,
8,0.0,0.0,0,0.0,1.5499999999999972,0.46,0.0,0.0,0.02,,,,0.0,2.0,0.48,2.0,4.549999999999997,1.94,1.0,3.0,1.28,1.0,3.0,1.16,1.0,3.0,0.8,1.0,3.0,1.4,1.0,3.0,1.48,16.0,29.549999999999997,17,5000.0,6000.0,5140,0.0,1.0,0.16,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,9.0,9.0,9,340.0,340.0,325.8,2600.0,2600.0,2600,2500.0,2755.0,2522,0.0,3.0,1.14,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.54,,,,100.0,177.49999999999986,103,100.0,100.0,84,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,0.0,1.0,0.08,0.0,1.0,0.34,0.0,0.0,0.04,0.0,30.0,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0,0.0,2.0,0.5,0.0,0.0,0.02,,,,1.0,2.0,0.64,2.0,4.0,2.2,1.0,3.0,1.06,1.0,2.549999999999997,0.88,1.0,2.0,0.74,1.0,3.0,1.36,1.5,4.0,1.62,18.0,29.0,17.82,6000.0,6000.0,5520,0.0,1.0,0.08,20.0,20.0,18.4,20.0,20.0,20,0.0,0.0,0,10.0,10.0,10,410.0,410.0,396.6,50.0,50.0,50,2650.0,2850.0,2611,0.0,3.0,1.14,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.7,,,,100.0,150.0,89,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,0.0,0.5499999999999972,0.06,0.0,1.0,0.2,0.0,0.0,0.04,30.0,60.0,32.4,,,,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0,0.0,1.0,0.28,,,,,,,0.0,1.0,0.34,2.0,4.0,2.26,1.0,3.0,0.96,1.0,2.549999999999997,1.14,1.0,2.0,0.78,2.0,3.549999999999997,1.76,1.5,3.0,1.48,14.0,24.0,15.8,6000.0,6000.0,5940,0.0,1.0,0.08,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,11.0,11.0,11,430.0,430.0,418.4,500.0,500.0,500,2850.0,3150.0,2836,0.0,3.0,1.14,0.0,0.0,0,4700.0,4700.0,4700,4250.0,4250.0,4250,1.0,1.0,0.56,,,,100.0,200.0,87,150.0,150.0,138,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,9.0,9.0,9,0.0,1.0,0.16,0.0,1.0,0.22,0.0,0.5499999999999972,0.06,0.0,16.499999999999915,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
