day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_board_clear_p50,gold_in_board_clear_p95,gold_in_board_clear_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,workshop_had_cat_accessory_p50,workshop_had_cat_accessory_p95,workshop_had_cat_accessory_mean,workshop_had_furniture_component_p50,workshop_had_furniture_component_p95,workshop_had_furniture_component_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,love_petals_in_adoption_p50,love_petals_in_adoption_p95,love_petals_in_adoption_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean
1,1.0,1.0,1,0.0,2.0,0.506,0.0,1.0,0.097,1.0,2.0,0.879,0.0,1.0,0.355,1.0,2.0,0.707,0.0,1.0,0.253,1.0,3.0,1.313,1.0,2.0,0.89,9.0,17.0,9.662,1500.0,1500.0,1500,0.0,1.0,0.28,0.0,0.0,0,1.0,1.0,0.72,1.0,1.0,1,0.0,0.0,0,2800.0,2800.0,2800,450.0,650.0,486.68,0.0,0.0,0,5.0,5.0,5,1300.0,1300.0,1300,1500.0,1500.0,1500,1.0,1.0,1,300.0,300.0,300,0.0,200.0,60.8,100.0,100.0,89.88,100.0,100.0,72,50.0,50.0,50,100.0,100.0,86,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,1.72,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,10.0,10.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,1.0,1,0.0,2.0,0.568,0.0,1.0,0.106,1.0,3.0,1.034,0.0,2.0,0.424,1.0,2.0,0.809,0.0,1.0,0.267,1.0,3.0,1.54,1.0,3.0,0.972,10.0,18.0,11.489,1500.0,1500.0,1500,0.0,1.0,0.287,20.0,20.0,14.26,0.0,1.0,0.28,2.0,2.0,2,20.0,20.0,14.26,1350.0,1350.0,1350,600.0,820.0,608.82,0.0,0.0,0,10.0,10.0,10,1300.0,1300.0,1300,1500.0,1500.0,1500,1.0,1.0,0.602,,,,100.0,200.0,69.1,100.0,120.0,103.04,0.0,0.0,0,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,12.0,12.0,11.44,4250.0,4250.0,4250,0.0,1.0,0.107,0.0,1.0,0.236,0.0,1.0,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0,1.0,1,0.0,2.0,0.548,0.0,1.0,0.075,1.0,2.0,0.95,0.0,2.0,0.403,1.0,2.0,0.687,0.0,1.0,0.234,1.0,3.0,1.412,1.0,3.0,0.971,10.0,18.0,11.025,1500.0,1500.0,1500,0.0,1.0,0.313,0.0,0.0,0,1.0,1.0,0.72,2.0,2.0,2,20.0,20.0,14.26,1150.0,1150.0,1150,820.0,1100.0,820.21,0.0,0.0,0,15.0,15.0,15,1300.0,1300.0,1300,1500.0,1500.0,1500,1.0,1.0,0.575,,,,0.0,200.0,63.7,100.0,120.0,94.64,150.0,150.0,103.05,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,10.0,12.0,10.56,,,,0.0,1.0,0.097,0.0,1.0,0.266,0.0,1.0,0.062,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0,1.0,1,0.0,2.0,0.527,0.0,1.0,0.104,1.0,3.0,1.073,0.0,2.0,0.392,1.0,2.0,0.755,0.0,1.0,0.284,1.0,3.0,1.485,1.0,3.0,1.1,10.0,18.0,11.569,1500.0,1500.0,1500,0.0,1.0,0.312,30.0,30.0,20.64,0.0,1.0,0.28,2.0,2.0,2,50.0,50.0,34.9,950.0,950.0,950,940.0,1270.0,941.67,0.0,0.0,0,20.0,20.0,20,1300.0,1300.0,1300,1500.0,1500.0,1500,1.0,1.0,0.623,,,,100.0,200.0,67.6,100.0,120.0,103.86,0.0,0.0,0,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,12.0,12.0,11.44,,,,0.0,1.0,0.084,0.0,1.0,0.244,0.0,0.0,0.049,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0,1.0,1,0.0,2.0,0.54,0.0,1.0,0.095,1.0,3.0,0.959,0.0,1.0,0.391,1.0,2.0,0.676,0.0,1.0,0.249,1.0,3.0,1.385,1.0,3.0,0.985,10.0,18.0,11.1,1500.0,1500.0,1500,0.0,1.0,0.301,0.0,0.0,0,1.0,1.0,0.72,2.0,2.0,2,50.0,50.0,34.9,750.0,750.0,750,1180.0,1550.0,1190.27,0.0,0.0,0,25.0,25.0,25,1300.0,1300.0,1300,1500.0,1500.0,1500,1.0,1.0,0.602,,,,0.0,200.0,64,100.0,120.0,94.8,200.0,200.0,139.8,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,10.0,12.0,10.56,,,,0.0,1.0,0.097,0.0,1.0,0.248,0.0,1.0,0.053,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0,1.0,1,0.0,2.0,0.556,0.0,1.0,0.125,1.0,3.0,1.11,0.0,2.0,0.377,1.0,2.0,0.763,0.0,1.0,0.254,1.0,3.0,1.5,1.0,3.0,1.035,5.0,14.0,6.898,1500.0,1500.0,1500,0.0,1.0,0.333,40.0,40.0,26.68,0.0,1.0,0.28,2.0,2.0,2,60.0,90.0,61.58,550.0,550.0,550,1300.0,1690.4999999999995,1306.65,0.0,0.0,0,30.0,30.0,30,1300.0,1300.0,1300,1500.0,1500.0,1500,1.0,1.0,0.575,,,,0.0,200.0,63.1,100.0,120.0,103.28,0.0,0.0,0,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,,,,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,12.0,12.0,11.44,,,,0.0,1.0,0.109,0.0,1.0,0.273,0.0,0.0,0.043,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.0,1.0,1,0.0,2.0,0.477,0.0,1.0,0.081,1.0,2.0499999999999545,0.962,0.0,1.0499999999999545,0.362,1.0,2.0,0.713,0.0,1.0,0.215,1.0,3.0,1.513,1.0,2.0,0.957,9.0,17.0,9.664,1500.0,1500.0,1500,0.0,1.0,0.287,0.0,0.0,0,1.0,1.0,0.72,2.0,2.0,2,60.0,90.0,61.58,350.0,350.0,350,1940.0,2390.0,1929.96,0.0,0.0,0,0.0,0.0,0,1300.0,1300.0,1300,1500.0,1500.0,1500,1.0,1.0,0.618,200.0,200.0,200,0.0,200.0,57.7,100.0,120.0,96.06,350.0,350.0,249.55,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,50.0,50.0,35.65,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,10.0,12.0,10.56,,,,0.0,1.0,0.083,0.0,1.0,0.245,0.0,1.0,0.054,3000.0,3000.0,3000,70.0,70.0,70,50.0,50.0,35.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.0,1.0,1,0.0,2.0,0.48,0.0,1.0,0.081,1.0,2.0,0.903,0.0,1.0,0.344,1.0,2.0,0.665,0.0,1.0,0.221,1.0,3.0,1.435,1.0,2.0,0.871,5.0,12.0,5.803,1500.0,1500.0,1500,0.0,1.0,0.309,0.0,0.0,0,1.0,1.0,0.72,2.0,2.0,2,60.0,90.0,61.58,1150.0,1150.0,1150,2070.0,2520.0,2045.96,0.0,3.0,1.02,0.0,0.0,0,800.0,800.0,800,1500.0,1500.0,1500,1.0,1.0,0.6,,,,0.0,200.0,56.5,100.0,100.0,90.4,100.0,100.0,69.1,,,,100.0,100.0,100,24.0,24.0,24,,,,,,,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,,,,0.0,1.0,0.11,0.0,1.0,0.24,0.0,0.049999999999954525,0.05,,,,,,,,,,1500.0,1500.0,1500,0.0,3.0,1.02,0.0,1.0,0.339,0.0,1.0,0.34,0.0,1.0,0.321,0.0,1.0,0.339,0.0,1.0,0.321,,,,,,,,,
9,1.0,1.0,1,0.0,2.0,0.516,0.0,1.0,0.079,1.0,2.0,0.919,0.0,1.0,0.336,1.0,2.0,0.713,0.0,1.0,0.232,1.0,3.0,1.316,1.0,2.0,0.889,4.0,13.0,5.693,1500.0,1500.0,1500,0.0,1.0,0.3,20.0,20.0,14,1.0,1.0,0.72,2.0,2.0,2,80.0,110.0,75.58,450.0,450.0,450,2100.0,2580.0,2092.44,0.0,3.0,1.02,0.0,0.0,0,800.0,800.0,800,1500.0,1500.0,1500,1.0,1.0,0.619,,,,0.0,200.0,56.8,100.0,100.0,89.68,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,,,,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,,,,0.0,1.0,0.107,0.0,1.0,0.229,0.0,0.0,0.045,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.0,1.0,1,0.0,2.0,0.512,0.0,1.0,0.078,1.0,2.0,0.881,0.0,1.0,0.368,1.0,2.0,0.67,0.0,1.0,0.232,1.0,3.0,1.349,1.0,2.0,0.91,4.0,12.0,5.742,1500.0,1500.0,1500,0.0,1.0,0.292,0.0,0.0,0,1.0,1.0,0.72,2.0,2.0,2,80.0,110.0,75.58,1250.0,1250.0,1250,2260.0,2750.0,2248.4,3.0,6.0,2.01,0.0,0.0,0,800.0,800.0,800,1500.0,1500.0,1500,1.0,1.0,0.604,,,,0.0,200.0,60,100.0,100.0,89.76,150.0,150.0,106.2,,,,100.0,100.0,100,24.0,24.0,24,,,,,,,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,,,,0.0,1.0,0.116,0.0,1.0,0.246,0.0,0.0,0.034,,,,,,,,,,1500.0,1500.0,1500,0.0,3.0,0.99,0.0,1.0,0.331,0.0,1.0,0.33,0.0,1.0,0.339,0.0,1.0,0.331,0.0,1.0,0.339,,,,,,,,,
